ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma20,ma60,rsi14,macd_dif,macd_dea,macd_hist
688981.SH,2025-12-26,122.58,124.79,121.16,122.1,123.08,-0.98,-0.7962,402397.99,4938389.58,121.78800000000001,116.027,121.32633333333334,58.454106280193216,1.0667727081352893,-0.24640632679163188,2.6263580698538425
688981.SH,2025-12-29,123.0,125.65,122.02,122.5,122.1,0.4,0.3276,506831.61,6280270.177,122.19800000000001,116.43199999999999,121.16349999999998,60.842105263157904,1.30976091585255,0.06482712173720448,2.489867588230691
688981.SH,2025-12-30,124.45,126.69,124.0,125.28,122.5,2.78,2.2694,604958.31,7582347.029,123.274,117.046,120.98450000000001,64.3428205948193,1.7069766237124924,0.3932570221322621,2.6274392031604608
688981.SH,2025-12-31,125.99,126.2,122.4,122.83,125.28,-2.45,-1.9556,411586.85,5082728.445,123.15799999999999,117.60650000000001,120.69616666666667,64.86137975499676,1.8032911911388112,0.675263855933572,2.2560546704104785
688981.SH,2026-01-05,126.84,130.17,126.2,129.95,122.83,7.12,5.7966,911394.04,11742866.839,124.532,118.36749999999999,120.54683333333334,68.81258941344777,2.4261782033259323,1.025446725412044,2.8014629558277764
688981.SH,2026-01-06,129.0,134.2,128.77,131.84,129.95,1.89,1.4544,730696.95,9623978.218,126.47999999999999,119.25050000000002,120.61166666666666,78.48714069591526,3.0373155695315006,1.4278204942359354,3.2189901505911305
688981.SH,2026-01-07,131.84,132.82,128.85,129.98,131.84,-1.86,-1.4108,598040.86,7783876.099,127.97599999999997,119.8895,120.5035,79.57055214723921,3.3331375451110006,1.8088839044109486,3.048507281400104
688981.SH,2026-01-08,128.95,134.68,128.91,130.15,129.98,0.17,0.1308,616918.81,8145423.327,128.95,120.58099999999999,120.55266666666667,77.93240556660035,3.5404836793101992,2.1552038593907987,2.770559639838801
688981.SH,2026-01-09,129.15,130.01,127.77,128.88,130.15,-1.27,-0.9758,511274.88,6581947.276,130.16,121.2095,120.54133333333334,75.96899224806197,3.5612764205852443,2.436418371629688,2.2497160979111124
688981.SH,2026-01-12,128.52,129.62,126.68,127.66,128.88,-1.22,-0.9466,563935.64,7202156.993,129.702,121.91199999999999,120.54733333333334,72.37639553429024,3.439660745851043,2.6370668464739593,1.6051877987541676
688981.SH,2026-01-13,127.49,128.15,122.86,123.63,127.66,-4.03,-3.1568,652072.8,8154109.676,128.06,122.25349999999999,120.57483333333334,55.56722689075628,2.98369791526612,2.706393060232392,0.5546097100674565
688981.SH,2026-01-14,123.51,127.6,123.5,124.49,123.63,0.86,0.6956,649683.91,8155390.623,126.96199999999999,122.82750000000001,120.60583333333334,57.94942847246273,2.661063812497119,2.697327210685337,-0.07252679637643666
688981.SH,2026-01-15,123.49,125.5,122.33,124.44,124.49,-0.05,-0.0402,556604.23,6895087.6,125.82000000000001,123.5145,120.55999999999999,52.026761117670205,2.3739736885328426,2.6326565062548384,-0.5173656354439915
